iter	Passed	Remaining
0	306	306474
1	354	176824
2	401	133389
3	448	111737
4	492	98009
5	534	88559
6	578	82075
7	635	78750
8	685	75532
9	737	73030
10	782	70368
11	821	67630
12	856	65051
13	899	63381
14	936	61476
15	976	60040
16	1011	58498
17	1047	57150
18	1088	56202
19	1127	55228
20	1164	54267
21	1201	53404
22	1242	52797
23	1286	52336
24	1330	51895
25	1371	51394
26	1409	50786
27	1448	50300
28	1484	49688
29	1523	49248
30	1559	48735
31	1592	48181
32	1629	47758
33	1667	47366
34	1702	46936
35	1740	46606
36	1775	46199
37	1811	45849
38	1849	45571
39	1880	45138
40	1918	44866
41	1953	44565
42	1988	44258
43	2024	43979
44	2061	43739
45	2099	43551
46	2144	43482
47	2178	43200
48	2216	43014
49	2255	42855
50	2290	42627
51	2334	42568
52	2376	42455
53	2415	42313
54	2452	42145
55	2495	42073
56	2537	41973
57	2573	41789
58	2606	41563
59	2643	41420
60	2679	41242
61	2728	41272
62	2769	41191
63	2810	41106
64	2845	40934
65	2878	40737
66	2916	40619
67	2953	40474
68	2990	40345
69	3027	40223
70	3059	40037
71	3095	39901
72	3137	39835
73	3174	39722
74	3208	39565
75	3247	39482
76	3283	39362
77	3319	39232
78	3353	39095
79	3388	38965
80	3422	38831
81	3458	38722
82	3492	38588
83	3530	38502
84	3566	38396
85	3603	38294
86	3638	38187
87	3676	38106
88	3711	37986
89	3747	37889
90	3784	37801
91	3818	37683
92	3855	37596
93	3893	37525
94	3932	37464
95	3967	37364
96	4001	37253
97	4037	37158
98	4078	37115
99	4125	37126
100	4168	37108
101	4215	37115
102	4258	37083
103	4296	37015
104	4340	36995
105	4381	36955
106	4423	36918
107	4462	36857
108	4503	36814
109	4542	36756
110	4579	36679
111	4614	36587
112	4650	36504
113	4689	36445
114	4728	36391
115	4764	36308
116	4800	36225
117	4834	36137
118	4871	36067
119	4904	35966
120	4944	35917
121	4990	35918
122	5031	35877
123	5073	35844
124	5112	35788
125	5153	35747
126	5191	35689
127	5224	35591
128	5260	35520
129	5297	35451
130	5331	35366
131	5364	35274
132	5398	35189
133	5430	35096
134	5466	35025
135	5502	34955
136	5537	34884
137	5573	34814
138	5608	34739
139	5641	34657
140	5675	34578
